,learning_rate,optimizer,epoch,accuracy,loss,val_accuracy,val_loss,trial_name
0,0.0100,Adam,1,0.5879,4.1697,0.5950,0.6753,"LR=0.01, Opt=Adam"
1,0.0100,Adam,2,0.5949,0.6759,0.5950,0.6753,"LR=0.01, Opt=Adam"
2,0.0100,Adam,3,0.5949,0.6758,0.5950,0.6751,"LR=0.01, Opt=Adam"
3,0.0100,Adam,4,0.5949,0.6755,0.5950,0.6750,"LR=0.01, Opt=Adam"
4,0.0100,Adam,5,0.5949,0.6759,0.5950,0.6755,"LR=0.01, Opt=Adam"
5,0.0100,Adam,6,0.5949,0.6758,0.5950,0.6754,"LR=0.01, Opt=Adam"
6,0.0100,Adam,7,0.5949,0.6760,0.5950,0.6751,"LR=0.01, Opt=Adam"
7,0.0100,Adam,8,0.5949,0.6761,0.5950,0.6751,"LR=0.01, Opt=Adam"
8,0.0100,Adam,9,0.5949,0.6753,0.5950,0.6754,"LR=0.01, Opt=Adam"
9,0.0100,Adam,10,0.5949,0.6754,0.5950,0.6750,"LR=0.01, Opt=Adam"
10,0.0100,Adam,11,0.5949,0.6752,0.5950,0.6751,"LR=0.01, Opt=Adam"
11,0.0100,Adam,12,0.5949,0.6755,0.5950,0.6751,"LR=0.01, Opt=Adam"
12,0.0100,Adam,13,0.5949,0.6755,0.5950,0.6757,"LR=0.01, Opt=Adam"
13,0.0100,Adam,14,0.5949,0.6756,0.5950,0.6751,"LR=0.01, Opt=Adam"
14,0.0100,Adam,15,0.5949,0.6755,0.5950,0.6752,"LR=0.01, Opt=Adam"
15,0.0100,Adam,16,0.5949,0.6755,0.5950,0.6753,"LR=0.01, Opt=Adam"
16,0.0100,Adam,17,0.5949,0.6759,0.5950,0.6750,"LR=0.01, Opt=Adam"
17,0.0100,Adam,18,0.5949,0.6753,0.5950,0.6750,"LR=0.01, Opt=Adam"
18,0.0100,Adam,19,0.5949,0.6758,0.5950,0.6755,"LR=0.01, Opt=Adam"
19,0.0100,Adam,20,0.5949,0.6755,0.5950,0.6753,"LR=0.01, Opt=Adam"
20,0.0100,RMSProp,1,0.5943,0.6811,0.5950,0.6751,"LR=0.01, Opt=RMSProp"
21,0.0100,RMSProp,2,0.5949,0.6761,0.5950,0.6750,"LR=0.01, Opt=RMSProp"
22,0.0100,RMSProp,3,0.5949,0.6759,0.5950,0.6750,"LR=0.01, Opt=RMSProp"
23,0.0100,RMSProp,4,0.5949,0.6756,0.5950,0.6750,"LR=0.01, Opt=RMSProp"
24,0.0100,RMSProp,5,0.5949,0.6755,0.5950,0.6751,"LR=0.01, Opt=RMSProp"
25,0.0100,RMSProp,6,0.5949,0.6754,0.5950,0.6751,"LR=0.01, Opt=RMSProp"
26,0.0100,RMSProp,7,0.5949,0.6754,0.5950,0.6751,"LR=0.01, Opt=RMSProp"
27,0.0100,RMSProp,8,0.5949,0.6754,0.5950,0.6751,"LR=0.01, Opt=RMSProp"
28,0.0100,RMSProp,9,0.5949,0.6756,0.5950,0.6751,"LR=0.01, Opt=RMSProp"
29,0.0100,RMSProp,10,0.5949,0.6755,0.5950,0.6750,"LR=0.01, Opt=RMSProp"
30,0.0100,RMSProp,11,0.5949,0.6753,0.5950,0.6750,"LR=0.01, Opt=RMSProp"
31,0.0100,RMSProp,12,0.5949,0.6754,0.5950,0.6750,"LR=0.01, Opt=RMSProp"
32,0.0100,RMSProp,13,0.5949,0.6752,0.5950,0.6750,"LR=0.01, Opt=RMSProp"
33,0.0100,RMSProp,14,0.5949,0.6754,0.5950,0.6750,"LR=0.01, Opt=RMSProp"
34,0.0100,RMSProp,15,0.5949,0.6754,0.5950,0.6750,"LR=0.01, Opt=RMSProp"
35,0.0100,RMSProp,16,0.5949,0.6754,0.5950,0.6752,"LR=0.01, Opt=RMSProp"
36,0.0100,RMSProp,17,0.5949,0.6755,0.5950,0.6750,"LR=0.01, Opt=RMSProp"
37,0.0100,RMSProp,18,0.5949,0.6754,0.5950,0.6751,"LR=0.01, Opt=RMSProp"
38,0.0100,RMSProp,19,0.5949,0.6752,0.5950,0.6759,"LR=0.01, Opt=RMSProp"
39,0.0100,RMSProp,20,0.5949,0.6748,0.5950,0.6768,"LR=0.01, Opt=RMSProp"
40,0.0010,Adam,1,0.5936,0.6445,0.4050,0.6944,"LR=0.001, Opt=Adam"
41,0.0010,Adam,2,0.5681,0.6899,0.5950,0.6858,"LR=0.001, Opt=Adam"
42,0.0010,Adam,3,0.5949,0.6831,0.5950,0.6808,"LR=0.001, Opt=Adam"
43,0.0010,Adam,4,0.5949,0.6794,0.5950,0.6781,"LR=0.001, Opt=Adam"
44,0.0010,Adam,5,0.5949,0.6773,0.5950,0.6766,"LR=0.001, Opt=Adam"
45,0.0010,Adam,6,0.5949,0.6762,0.5950,0.6758,"LR=0.001, Opt=Adam"
46,0.0010,Adam,7,0.5949,0.6756,0.5950,0.6754,"LR=0.001, Opt=Adam"
47,0.0010,Adam,8,0.5949,0.6753,0.5950,0.6751,"LR=0.001, Opt=Adam"
48,0.0010,Adam,9,0.5949,0.6752,0.5950,0.6751,"LR=0.001, Opt=Adam"
49,0.0010,Adam,10,0.5949,0.6751,0.5950,0.6750,"LR=0.001, Opt=Adam"
50,0.0010,Adam,11,0.5949,0.6751,0.5950,0.6750,"LR=0.001, Opt=Adam"
51,0.0010,Adam,12,0.5949,0.6751,0.5950,0.6750,"LR=0.001, Opt=Adam"
52,0.0010,Adam,13,0.5949,0.6750,0.5950,0.6750,"LR=0.001, Opt=Adam"
53,0.0010,Adam,14,0.5949,0.6751,0.5950,0.6750,"LR=0.001, Opt=Adam"
54,0.0010,Adam,15,0.5949,0.6751,0.5950,0.6750,"LR=0.001, Opt=Adam"
55,0.0010,Adam,16,0.5949,0.6751,0.5950,0.6750,"LR=0.001, Opt=Adam"
56,0.0010,Adam,17,0.5949,0.6751,0.5950,0.6750,"LR=0.001, Opt=Adam"
57,0.0010,Adam,18,0.5949,0.6751,0.5950,0.6750,"LR=0.001, Opt=Adam"
58,0.0010,Adam,19,0.5949,0.6751,0.5950,0.6750,"LR=0.001, Opt=Adam"
59,0.0010,Adam,20,0.5949,0.6751,0.5950,0.6750,"LR=0.001, Opt=Adam"
60,0.0010,RMSProp,1,0.5949,0.6856,0.5950,0.6944,"LR=0.001, Opt=RMSProp"
61,0.0010,RMSProp,2,0.5949,0.6729,0.5950,0.6736,"LR=0.001, Opt=RMSProp"
62,0.0010,RMSProp,3,0.6389,0.6480,0.7095,0.5768,"LR=0.001, Opt=RMSProp"
63,0.0010,RMSProp,4,0.7104,0.5873,0.7215,0.5734,"LR=0.001, Opt=RMSProp"
64,0.0010,RMSProp,5,0.7283,0.5616,0.7075,0.5892,"LR=0.001, Opt=RMSProp"
65,0.0010,RMSProp,6,0.7372,0.5444,0.7110,0.5760,"LR=0.001, Opt=RMSProp"
66,0.0010,RMSProp,7,0.7476,0.5293,0.7175,0.5445,"LR=0.001, Opt=RMSProp"
67,0.0010,RMSProp,8,0.7536,0.5158,0.7150,0.5673,"LR=0.001, Opt=RMSProp"
68,0.0010,RMSProp,9,0.7580,0.5083,0.7785,0.4871,"LR=0.001, Opt=RMSProp"
69,0.0010,RMSProp,10,0.7616,0.5014,0.7770,0.4784,"LR=0.001, Opt=RMSProp"
70,0.0010,RMSProp,11,0.7679,0.4936,0.7750,0.4890,"LR=0.001, Opt=RMSProp"
71,0.0010,RMSProp,12,0.7716,0.4875,0.7740,0.4915,"LR=0.001, Opt=RMSProp"
72,0.0010,RMSProp,13,0.7753,0.4816,0.7605,0.4996,"LR=0.001, Opt=RMSProp"
73,0.0010,RMSProp,14,0.7739,0.4792,0.7925,0.4655,"LR=0.001, Opt=RMSProp"
74,0.0010,RMSProp,15,0.7807,0.4698,0.7710,0.4815,"LR=0.001, Opt=RMSProp"
75,0.0010,RMSProp,16,0.7807,0.4704,0.7825,0.4807,"LR=0.001, Opt=RMSProp"
76,0.0010,RMSProp,17,0.7872,0.4632,0.7775,0.4642,"LR=0.001, Opt=RMSProp"
77,0.0010,RMSProp,18,0.7870,0.4576,0.7800,0.4679,"LR=0.001, Opt=RMSProp"
78,0.0010,RMSProp,19,0.7952,0.4487,0.7710,0.4810,"LR=0.001, Opt=RMSProp"
79,0.0010,RMSProp,20,0.7990,0.4399,0.7865,0.4510,"LR=0.001, Opt=RMSProp"
80,0.0001,Adam,1,0.5931,0.6599,0.6040,0.6091,"LR=0.0001, Opt=Adam"
81,0.0001,Adam,2,0.7225,0.5633,0.7465,0.5286,"LR=0.0001, Opt=Adam"
82,0.0001,Adam,3,0.7460,0.5286,0.7595,0.4925,"LR=0.0001, Opt=Adam"
83,0.0001,Adam,4,0.7536,0.5145,0.7590,0.5153,"LR=0.0001, Opt=Adam"
84,0.0001,Adam,5,0.7579,0.5099,0.7645,0.4892,"LR=0.0001, Opt=Adam"
85,0.0001,Adam,6,0.7548,0.5100,0.7775,0.4852,"LR=0.0001, Opt=Adam"
86,0.0001,Adam,7,0.7599,0.5010,0.7735,0.4932,"LR=0.0001, Opt=Adam"
87,0.0001,Adam,8,0.7685,0.4968,0.7645,0.4919,"LR=0.0001, Opt=Adam"
88,0.0001,Adam,9,0.7676,0.4925,0.7675,0.4783,"LR=0.0001, Opt=Adam"
89,0.0001,Adam,10,0.7685,0.4869,0.7795,0.4846,"LR=0.0001, Opt=Adam"
90,0.0001,Adam,11,0.7715,0.4848,0.7730,0.4769,"LR=0.0001, Opt=Adam"
91,0.0001,Adam,12,0.7736,0.4837,0.7670,0.4953,"LR=0.0001, Opt=Adam"
92,0.0001,Adam,13,0.7706,0.4851,0.7600,0.4888,"LR=0.0001, Opt=Adam"
93,0.0001,Adam,14,0.7795,0.4719,0.7795,0.4746,"LR=0.0001, Opt=Adam"
94,0.0001,Adam,15,0.7806,0.4689,0.7785,0.4734,"LR=0.0001, Opt=Adam"
95,0.0001,Adam,16,0.7836,0.4667,0.7840,0.4726,"LR=0.0001, Opt=Adam"
96,0.0001,Adam,17,0.7822,0.4639,0.7845,0.4643,"LR=0.0001, Opt=Adam"
97,0.0001,Adam,18,0.7915,0.4540,0.7835,0.4674,"LR=0.0001, Opt=Adam"
98,0.0001,Adam,19,0.7857,0.4562,0.7920,0.4634,"LR=0.0001, Opt=Adam"
99,0.0001,Adam,20,0.7934,0.4434,0.7900,0.4591,"LR=0.0001, Opt=Adam"
100,0.0001,RMSProp,1,0.5949,0.6723,0.5950,0.6694,"LR=0.0001, Opt=RMSProp"
101,0.0001,RMSProp,2,0.6093,0.6500,0.7060,0.6084,"LR=0.0001, Opt=RMSProp"
102,0.0001,RMSProp,3,0.6946,0.5994,0.7480,0.5812,"LR=0.0001, Opt=RMSProp"
103,0.0001,RMSProp,4,0.7314,0.5584,0.6890,0.5972,"LR=0.0001, Opt=RMSProp"
104,0.0001,RMSProp,5,0.7350,0.5435,0.7565,0.5237,"LR=0.0001, Opt=RMSProp"
105,0.0001,RMSProp,6,0.7452,0.5285,0.7255,0.5390,"LR=0.0001, Opt=RMSProp"
106,0.0001,RMSProp,7,0.7479,0.5285,0.7745,0.4945,"LR=0.0001, Opt=RMSProp"
107,0.0001,RMSProp,8,0.7517,0.5218,0.7580,0.5010,"LR=0.0001, Opt=RMSProp"
108,0.0001,RMSProp,9,0.7569,0.5187,0.7740,0.4893,"LR=0.0001, Opt=RMSProp"
109,0.0001,RMSProp,10,0.7524,0.5160,0.7225,0.5283,"LR=0.0001, Opt=RMSProp"
110,0.0001,RMSProp,11,0.7538,0.5142,0.7710,0.4929,"LR=0.0001, Opt=RMSProp"
111,0.0001,RMSProp,12,0.7564,0.5105,0.7465,0.5177,"LR=0.0001, Opt=RMSProp"
112,0.0001,RMSProp,13,0.7594,0.5088,0.7665,0.5077,"LR=0.0001, Opt=RMSProp"
113,0.0001,RMSProp,14,0.7595,0.5044,0.7700,0.4859,"LR=0.0001, Opt=RMSProp"
114,0.0001,RMSProp,15,0.7653,0.4973,0.7755,0.4795,"LR=0.0001, Opt=RMSProp"
115,0.0001,RMSProp,16,0.7646,0.4989,0.7555,0.5137,"LR=0.0001, Opt=RMSProp"
116,0.0001,RMSProp,17,0.7686,0.4960,0.7800,0.4890,"LR=0.0001, Opt=RMSProp"
117,0.0001,RMSProp,18,0.7680,0.4944,0.7765,0.4756,"LR=0.0001, Opt=RMSProp"
118,0.0001,RMSProp,19,0.7667,0.4941,0.7780,0.4881,"LR=0.0001, Opt=RMSProp"
119,0.0001,RMSProp,20,0.7701,0.4864,0.7635,0.4865,"LR=0.0001, Opt=RMSProp"